restaurant_name,city,phone,instagram_handle,followers,posts,bio,website,status
"CHA CHA CHA","SAN FRANCISCO","+1 415-648-0504","@chachachasf","3228","386","Caribbean Restaurant. Tapas & Full Bar. Since 1984","chachachasf.com/reservations","FOUND"
"OTTO RESTAURANT ENOTECA PIZZERIA","NEW YORK","+1 212-995-2129","@ottopizzeria","17.8K","2395","One Fifth Avenue at 8th Street, New York","gofundme.com","FOUND"
"Pressed Juicery","NEW YORK","+1 646-657-0841","@pressedjuicery","399K","5300","Food & beverage. You. Powered by nature","pressed.com","FOUND"
"DECIBEL","NEW YORK","+1 212-979-2129","@decibelnyc","0","0","","","EMPTY_PROFILE"
"BARBOUNIA","NEW YORK","+1 212-995-0242","@barbounianyc","23.9K","1697","Mediterranean Restaurant. Culinary cruise. Best bars in Gramercy","linktr.ee/barbounia","FOUND"
"VAPIANO","NEW YORK","+1 212-777-9477","@vapianousa","8924","931","Pasta Pizza Bar. Mediterranean food fresh in-house daily","vapianotogo.com","FOUND"
"TADKA INDIAN RESTAURANT PIZZA AND SPORTS BAR","SAN FRANCISCO","+1 415-580-7052","@tadkasf","503","65","Mission District. Best and Fresh indian food","tadkasf.com","FOUND"
"AMA CAFE","SAN FRANCISCO","un","","","","","","NOT_FOUND"
"Momofuku Ssam Bar","NEW YORK","+1 212-254-3500","","","","","","NOT_FOUND"
"J AND E RESTAURANT","SAN FRANCISCO","+1 415-282-5177","","","","","","NOT_FOUND"
"VALENCIA","SAN FRANCISCO","+1 415-641-4156","@valenciarestaurant","11","6","","","EMPTY_PROFILE"
"LAS DELICIAS PATISSERIE GLUTEN FREE BAKERY","NEW YORK","+1 212-417-0044","@lasdeliciaspatisserie","2343","519","High End Gourmet Pastries NYC #GlutenFree","lasdeliciaspatisserie.com","FOUND"
"CHAGALL","NEW YORK","+1 718-832-7188","","","","","","NOT_FOUND"
"STARBUCKS","NEW YORK","+1 212-982-3753","@starbucks","17.7M","1159","Brand","starbucks.app.link","FOUND"
"ARABIAN NIGHTS","SAN FRANCISCO","+1 415-648-4156","@arabiannightssf","14","1","Welcome to Arabian Nights","","EMPTY_PROFILE"
"MILLYS PIZZERIA","NEW YORK","un","@millyspizzeria","0","1","","","EMPTY_PROFILE"
"PARK AVE CAKE","NEW YORK","+1 212-473-2124","@parkavecake","1846","253","PHL/NJ location","","WRONG_PROFILE"
"PETIT CHOU","NEW YORK","+1 917-475-1620","","","","","","NOT_FOUND"
"BAR","SAN FRANCISCO","+1 415-863-4158","","","","","","NOT_FOUND"
"THE WATERING HOLE","NEW YORK","+1 212-674-5783","","","","","","NOT_FOUND"
"PAMELA WARSHAY FITNESS","NEW YORK","un","","","","","","NOT_FOUND"
"ARCADIA EARTH","NEW YORK","un","@arcadiaearth","80.2K","1060","Immersive Journey Through Planet Earth","linktr.ee/arcadiaearth","FOUND"
"BAJI BAJI","NEW YORK","+1 212-777-3888","","","","","","NOT_FOUND"
"EAST WAY GOURMET","NEW YORK","+1 212-358-2123","","","","","","NOT_FOUND"
"RAMENWELL","SAN FRANCISCO","+1 415-967-4159","@ramenwellsf","6991","257","Scrumptious Bowls of Ramen","www.ramenwell.com","FOUND"
"KNOCKOUT","SAN FRANCISCO","+1 415-550-6994","@theknockoutsf","17.3K","8402","OG Safe Space Venue since 2005 Mission SF","theknockoutsf.com","FOUND"
"Moki s Sushi & Pacific Grill","SAN FRANCISCO","+1 415-970-9335","","","","","","NOT_FOUND"
"STRINGS RAMEN","NEW YORK","+1 646-609-6029","@stringsramen","21.4K","2610","First dedicated ramen shop in Chicago","linktr.ee/StringsRamen","WRONG_PROFILE"
"ODDFELLOWS ICE CREAM","NEW YORK","un","@oddfellowsicecream","66.3K","3479","Born in Brooklyn now international","linktr.ee/oddfellowsicecream","FOUND"
"HORSIES SALOON","SAN FRANCISCO","+1 415-550-6903","","","","","","NOT_FOUND"
"Bridges General","NEW YORK","un","@bridgesgeneral","1031","50","Snacks drinks and other cool products","bridgesgeneral.com","FOUND"
"S & P LIQUOR & WINE CORPORATION","NEW YORK","+1 212-475-2124","","","","","","NOT_FOUND"
"Academy For Software Engineering School","NEW YORK","+1 212-253-3299","","","","","","NOT_FOUND"
"Egg White Cafe","San Francisco","+1 415-658-7494","","","","","","NOT_FOUND"
"SUNNY DAY CREAMERY","SAN FRANCISCO","un","@sunnydaycreamery","202","27","Your new favorite ice cream DELIVERING PINTS TILL 4AM","","FOUND"
"SALTBAE BURGER","NEW YORK","+1 212-308-2110","@saltbaeburger","11","0","","","EMPTY_PROFILE"
"BARZOTTO","SAN FRANCISCO","+1 415-285-4152","","","","","","NOT_FOUND"
"PEACE & TODA CORPORATION","NEW YORK","+1 212-420-2124","","","","","","NOT_FOUND"
"10 BELOW ICE CREAM","NEW YORK","un","","","","","","NOT_FOUND"
"MUTINY CAFE & STUDIO","SAN FRANCISCO","+1 415-550-4155","","","","","","NOT_FOUND"
"EVERGREEN GARDEN RESTAURANT","SAN FRANCISCO","+1 415-621-8531","","","","","","NOT_FOUND"
"MAURICE CORNER LIQUOR","SAN FRANCISCO","+1 415-643-4330","","","","","","NOT_FOUND"
"SISTER JANE EAST SIDE TAVERN","NEW YORK","+1 212-675-2126","@sisterjanenyc","821","445","EV neighborhood hang w/ yummy food spirits beer wine","sisterjanenyc.com","FOUND"
"LIL FRANKIES PIZZA","NEW YORK","+1 212-420-2124","@lilfrankies","88K","1412","Neapolitan Restaurant 19 1st Ave NYC","linkin.bio/lilfrankies","FOUND"
"JULES BISTRO","NEW YORK","+1 212-477-2124","@julesbistro","3554","1461","Vancouver British Columbia","www.julesbistro.ca","WRONG_PROFILE"
"UMI NO IE","NEW YORK","+1 646-654-6466","","","","","","NOT_FOUND"
"OPTIMO CANDY","NEW YORK","+1 212-777-2127","","","","","","NOT_FOUND"
"26TH GUERRERO","SAN FRANCISCO","+1 415-282-4152","","","","","","NOT_FOUND"
"NEWKIRKS","SAN FRANCISCO","un","","","","","","NOT_FOUND"
"ALAMO DRAFTHOUSE CINEMA","SAN FRANCISCO","+1 415-549-5959","@alamodrafthouse","367","0","Alamo Drafthouse NYC","","WRONG_PROFILE"
"ZITA WINE BAR","SAN FRANCISCO","+1 415-800-7418","@zitawinebar","921","141","Conscious Conversation Friendly Bar Curated Wine","","FOUND"
"UGLY KITCHEN","NEW YORK","+1 212-777-2127","@uglykitchennyc","5000","771","Great food amazing drinks awesome community","","FOUND"
"GREENWICH HOUSE INC-SUBSTANCE ABUSE SVC","NEW YORK","+1 212-677-2126","","","","","","NOT_FOUND"
"AKRON MEAT MARKETS","SAN FRANCISCO","+1 415-824-4158","","","","","","NOT_FOUND"
"CIUDAD","SAN FRANCISCO","un","","","","","","NOT_FOUND"
"ERISTAVI WINERY","SAN FRANCISCO","+1 415-702-7029","@eristaviwinery","528","89","Georgian winery family traces back hundreds of years","eristaviwinery.com/winesandspirits","FOUND"
"LIMON","SAN FRANCISCO","+1 415-821-4158","@limonsf","854","38","Limon Rotisserie San Francisco","limonrotisserie.com/menus","FOUND"
"7-Eleven","NEW YORK","+1 631-655-6884","@7eleven","1M","1104","Some things just happen #OnlyAt7ELEVEn","linktr.ee/7_eleven","FOUND"
"NIZARIOS PIZZA","SAN FRANCISCO","+1 415-776-4157","","","","","","NOT_FOUND"
"UNION SQUARE HOSPITALITY GROUP","New York","+1 212-228-3585","@ushgnyc","54.7K","1833","Home to @gramercytavern @unionsquarecafe @manhatta_nyc","ushg.wgiftcard.com","FOUND"
"LEXINGTON STREET DISCO BALL","SAN FRANCISCO","un","","","","","","NOT_FOUND"
"BERETTA","SAN FRANCISCO","+1 415-695-1199","@berettasf","6647","24","SF staple. italian small plates pizza craft cocktails","linktr.ee/berettasf","FOUND"
"VESELKA RESTAURANT","NEW YORK","+1 212-228-9682","@veselkanyc","42.6K","4442","Ukrainian Soul Food in the heart of NYC","linktr.ee/veselkanyc","FOUND"
"CHICKPEA","NEW YORK","+1 212-228-2122","@chickpeanyc","3","0","","","EMPTY_PROFILE"
"COZY SOUP & BURGER INCORPORATED","NEW YORK","+1 212-477-2124","","","","","","NOT_FOUND"
"LA SANTANECA DE LA MISSION","SAN FRANCISCO","+1 415-285-2131","","","","","","NOT_FOUND"
"Sanbus s and J Deli","NEW YORK","+1 212-254-0838","","","","","","NOT_FOUND"
"3RD COUSIN","SAN FRANCISCO","+1 415-814-4158","","","","","","NOT_FOUND"
"PRINCE TEA HOUSE","NEW YORK","+1 917-388-2778","@princeteahouse","37.2K","815","Local chain tea house 10 locations in USA","www.princeteahouse.com","FOUND"
"HOG AND ROCKS","SAN FRANCISCO","+1 415-550-4155","@hogandrocks","1393","662","Closed April 14 2018","www.hogandrocks.com","FOUND"
"THNESIS MARKET","SAN FRANCISCO","+1 415-824-6810","","","","","","NOT_FOUND"
"OUTER ORBIT","SAN FRANCISCO","+1 415-206-4152","@outerorbitsf","2546","1169","Hapa-Hawaii Restaurant and Pinball","","FOUND"
"SUGOI SUSHI","SAN FRANCISCO","+1 415-401-4154","","","","","","NOT_FOUND"
"Latino s Grocery","SAN FRANCISCO","+1 415-648-3503","","","","","","NOT_FOUND"
"Zico Rest. Vent. / Crepe House","San Fran","un","","","","","","NOT_FOUND"
"MISSION OYSTER BAR SEAFOOD RESTAURANT","SAN FRANCISCO","+1 415-621-4156","","","","","","NOT_FOUND"
"PHILLY FRESH CHEESESTEAKS","NEW YORK","un","","","","","","NOT_FOUND"
"Kung Fu Tea","NEW YORK","+1 212-677-4517","@kungfuteausa","418K","2962","Americas Bubble Tea since 2010","linktr.ee/kungfutea_usa","FOUND"
"AFFORDABLE NEW YORK CITY","NEW YORK","+1 212-533-4001","","","","","","NOT_FOUND"
"NEW YORK EYE AND EAR INFIRMARY","NEW YORK","+1 212-979-2129","","","","","","NOT_FOUND"
"SKY ICE","NEW YORK","un","","","","","","NOT_FOUND"
"STARBUCKS","NEW YORK","+1 212-982-8426","@starbucks","17.7M","1159","Brand","starbucks.app.link","FOUND"
"YUCATASIA DELI & SANDWICH","SAN FRANCISCO","+1 415-626-4156","","","","","","NOT_FOUND"
"FRIENDS SEMINARY","NEW YORK","+1 212-979-2129","","","","","","NOT_FOUND"
"MAKE OUT ROOM","SAN FRANCISCO","+1 415-647-4156","@makeoutroomsf","2500","500","SF venue 3225 22nd St","","FOUND"
"BRIO BAR","NEW YORK","un","","","","","","NOT_FOUND"
"DUM","SAN FRANCISCO","+1 650-619-6506","","","","","","NOT_FOUND"
"BLACK & WHITE","NEW YORK","+1 212-253-2122","","","","","","NOT_FOUND"
"ALMANAC SAN FRANCISCO","SAN FRANCISCO","+1 415-992-4159","","","","","","NOT_FOUND"
"FRANKIES KITCHEN INC","NEW YORK","+1 212-353-2123","","","","","","NOT_FOUND"
"JAYS CHEESESTEAK","SAN FRANCISCO","+1 415-285-5200","","","","","","NOT_FOUND"
"THE INN SAN FRANCISCO","SAN FRANCISCO","+1 415-641-4156","","","","","","NOT_FOUND"
"CHERIN SUSHI","NEW YORK","+1 212-388-1348","","","","","","NOT_FOUND"
"Fresco Gelateria","NEW YORK","+1 212-677-6320","","","","","","NOT_FOUND"
"PROJECT RENEWAL MEDICALLY MONITORED SVC","NEW YORK","+1 212-533-2125","","","","","","NOT_FOUND"
"886","NEW YORK","+1 646-882-0231","","","","","","NOT_FOUND"
"Synergy School","SAN FRANCISCO","+1 415-567-6177","","","","","","NOT_FOUND"
"DORADO TACOS","NEW YORK","+1 212-627-2126","","","","","","NOT_FOUND"
"TACO ELECTRICO","NEW YORK","+1 917-534-5958","","","","","","NOT_FOUND"
"FARMHOUSE KITCHEN THAI CUISINE","SAN FRANCISCO","+1 415-814-4158","","","","","","NOT_FOUND"
"NYU KOSHER EATERY","NEW YORK","un","","","","","","NOT_FOUND"
"H T 99 CENT OVER","SAN FRANCISCO","+1 415-821-4158","","","","","","NOT_FOUND"
"SALADS HERE","NEW YORK","un","","","","","","NOT_FOUND"
"ROASTOWN COFFEE","NEW YORK","un","","","","","","NOT_FOUND"
"ABCV","NEW YORK","+1 212-475-2124","@abcvnyc","53.3K","1248","Plant-based restaurant by @chefjgv","m.mtrbio.com/abcv","FOUND"
"CAFE ETHIOPIA","SAN FRANCISCO","+1 415-285-2728","","","","","","NOT_FOUND"
"H Mart","New York","un","@hmartofficial","326K","2620","Americas go-to destination for all things Asian","linktr.ee/hmart","FOUND"
"UDON WEST","NEW YORK","+1 212-353-3888","","","","","","NOT_FOUND"
"500 CLUB THE","SAN FRANCISCO","+1 415-861-4158","@500clubsf","1716","198","Bar","","FOUND"
"Sunrise Restaurant","SAN FRANCISCO","+1 415-206-1219","","","","","","NOT_FOUND"
"True Laurel","San Francisco","+1 415-341-0020","@truelaurelsf","19.1K","335","Bar. N.A. worlds #17 @50bestbars #64","truelaurelsf.com","FOUND"
"MI LINDO PERU RESTAURANT","SAN FRANCISCO","+1 415-642-4156","@milindoperusf","632","30","Established 1996 Delivery or Pickup","milindoperu.com","FOUND"
"MISSION BOWLING CLUB","SAN FRANCISCO","+1 415-863-2695","@missionbowlingclub","17.1K","2029","Boutique bowling alley + full bar + award-winning restaurant","linktr.ee/missionbowlingclub","FOUND"
"NAMU GAJI","SAN FRANCISCO","+1 415-431-6268","","","","","","NOT_FOUND"
"Arena SF","SAN FRANCISCO","+1 650-273-7468","","","","","","NOT_FOUND"
"DRUNKEN DUMPLING","NEW YORK","un","","","","","","NOT_FOUND"
"CUCINA DI PESCE","NEW YORK","+1 212-260-2122","@cucinadipesce","598","292","Restaurant. Pop Up Kitchen delivery through NOMAD","nomadny.com","FOUND"
"MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL","NEW YORK","+1 212-353-2123","","","","","","NOT_FOUND"
"UNIVERSITY MKT PLACE","NEW YORK","+1 212-929-2281","","","","","","NOT_FOUND"
"Ms 297 School","NEW YORK","+1 917-678-8367","","","","","","NOT_FOUND"
"Outer Orbit","SAN FRANCISCO","un","@outerorbitsf","2546","1169","Hapa-Hawaii Restaurant and Pinball","","FOUND"
"CVS PHARMACY","NEW YORK","+1 212-260-3052","@cvspharmacy","302K","1509","Health/beauty. Healthier happens together","visitstore.bio/cvspharmacy","FOUND"
"HAUS COFFEE","SAN FRANCISCO","+1 415-374-7353","@hauscoffee","401","113","","hauscoffee.com.ar","WRONG_PROFILE"
"BUTLER","NEW YORK","un","","","","","","NOT_FOUND"
"ANTHOLOGY FILM ARCHIVES","NEW YORK","un","@anthologyfilmarchives","99.3K","2508","Preserving & presenting films by visionaries radicals independents","linktr.ee/anthologyfilmarchives","FOUND"
"LITTLE NEPAL","SAN FRANCISCO","+1 415-643-3881","","","","","","NOT_FOUND"
"GOLDEN EAGLE MARKET","SAN FRANCISCO","+1 415-282-9737","","","","","","NOT_FOUND"
"AMSTERDAM BILLARDS AND BAR","NEW YORK","+1 212-995-2129","","","","","","NOT_FOUND"
"RAYS GOURMET MARKET","NEW YORK","+1 646-205-6462","","","","","","NOT_FOUND"
"TAQUERIA SAN FRANCISCO","SAN FRANCISCO","+1 415-641-1770","","","","","","NOT_FOUND"
"MIUSA WINE BAR","NEW YORK","un","","","","","","NOT_FOUND"
"JUNIOR","SAN FRANCISCO","un","","","","","","NOT_FOUND"
"THE DONUT PUB","NEW YORK","+1 646-974-1221","@thedonutpub","50K","542","Hand-Cut Donuts Open 24/7 Since 1964","donutpub.com","FOUND"
"FROZEN AGE","NEW YORK","+1 646-654-6466","","","","","","NOT_FOUND"
"99 Favor Taste","NEW YORK","+1 212-256-0480","","","","","","NOT_FOUND"
"TAQUERIA VALLARTA","SAN FRANCISCO","+1 415-826-4158","","","","","","NOT_FOUND"
"UNIS DELI","SAN FRANCISCO","+1 415-642-4156","","","","","","NOT_FOUND"
"PHOTO ALLIANCE","SAN FRANCISCO","+1 415-781-8111","","","","","","NOT_FOUND"
"HALAL ALHAMBRA MEAT","SAN FRANCISCO","+1 415-525-4155","","","","","","NOT_FOUND"
"HALAL FOOD CART","New York","un","","","","","","NOT_FOUND"
"WANT BRANDING","NEW YORK","+1 212-352-2123","","","","","","NOT_FOUND"
"CAFE MOCHA","NEW YORK","+1 212-253-1046","","","","","","NOT_FOUND"
"INDIAN PALACE","SAN FRANCISCO","+1 415-658-4156","","","","","","NOT_FOUND"
"EVERYMAN ESPRESSO","NEW YORK","+1 212-533-0524","@everymanespresso","6361","2288","Damn Fine Coffee in the East Village and Park Slope","linktr.ee/everyman7","FOUND"
"PIRI PICA","SAN FRANCISCO","un","","","","","","NOT_FOUND"
"Japonica","NEW YORK","+1 212-243-7752","","","","","","NOT_FOUND"
"HOLY MOUNTAIN","SAN FRANCISCO","+1 415-400-5699","","","","","","NOT_FOUND"
"WICHCRAFT","NEW YORK","+1 212-780-0577","","","","","","NOT_FOUND"
"Bernal Supperclub","San Francisco","un","","","","","","NOT_FOUND"
"TABLESIDE ITALIAN COOK SHOPPE","NEW YORK","+1 646-852-6498","","","","","","NOT_FOUND"
"KABABAYAN FAST FOOD","SAN FRANCISCO","+1 415-920-9635","","","","","","NOT_FOUND"
"PUNJAB RESTAURANT","SAN FRANCISCO","+1 415-282-4011","","","","","","NOT_FOUND"
"ABC COCINA","New York","un","@abccocina","14.7K","1270","Latin-inspired restaurant by @chefjgv","m.mtrbio.com/abc-cocina","FOUND"
"CHOP T CREATIVE SALAD COMPANY","NEW YORK","+1 212-524-4619","","","","","","NOT_FOUND"
"HUDSON VIEW REST","NY","un","","","","","","NOT_FOUND"
"New York City Department of Education","New York","un","","","","","","NOT_FOUND"
