restaurant_name,city,zip_code,phone,instagram_handle,followers,posts,bio,website,status
LAZY BEAR,SAN FRANCISCO,94110,+1 415-874-4158,@lazybearsf,60.8K,1219,Fine dining restaurant. Unique tasting menu. Foraged and cultivated,lazybearsf.com,FOUND
ATLAS CAFE,SAN FRANCISCO,94110,+1 415-648-1047,@atlascafesf,1317,902,Cafe. M-F 7-6 Sa 8-6 Su 8-4. Comedy Sa 2-4. Outdoor & Indoor,toasttab.com/atlas-cafe,FOUND
CHA CHA CHA,SAN FRANCISCO,94110,+1 415-648-0504,@chachachasf,3228,386,Caribbean Restaurant. Tapas & Full Bar. Since 1984,chachachasf.com/reservations,FOUND
OTTO RESTAURANT ENOTECA PIZZERIA,NEW YORK,10003,+1 212-995-2129,@ottopizzeria,17.8K,2395,"One Fifth Avenue at 8th Street, New York",gofundme.com,FOUND
Pressed Juicery,NEW YORK,10003,+1 646-657-0841,@pressedjuicery,399K,5300,Food & beverage. You. Powered by nature,pressed.com,FOUND
DECIBEL,NEW YORK,10003,+1 212-979-2129,@decibelnyc,0,0,,,EMPTY_PROFILE
BARBOUNIA,NEW YORK,10003,+1 212-995-0242,@barbounianyc,23.9K,1697,Mediterranean Restaurant. Culinary cruise. Best bars in Gramercy,linktr.ee/barbounia,FOUND
VAPIANO,NEW YORK,10003,+1 212-777-9477,@vapianousa,8924,931,Pasta Pizza Bar. Mediterranean food fresh in-house daily,vapianotogo.com,FOUND
TADKA INDIAN RESTAURANT PIZZA AND SPORTS BAR,SAN FRANCISCO,94110,+1 415-580-7052,@tadkasf,503,65,Mission District. Best and Fresh indian food,tadkasf.com,FOUND
AMA CAFE,SAN FRANCISCO,94110,un,,,,,,NOT_FOUND
Momofuku Ssam Bar,NEW YORK,10003,+1 212-254-3500,,,,,,NOT_FOUND
J AND E RESTAURANT,SAN FRANCISCO,94110,+1 415-282-5177,,,,,,NOT_FOUND
VALENCIA,SAN FRANCISCO,94110,+1 415-641-4156,@valenciarestaurant,11,6,,,EMPTY_PROFILE
LAS DELICIAS PATISSERIE GLUTEN FREE BAKERY,NEW YORK,10003,+1 212-417-0044,@lasdeliciaspatisserie,2343,519,High End Gourmet Pastries NYC #GlutenFree,lasdeliciaspatisserie.com,FOUND
CHAGALL,NEW YORK,10003,+1 718-832-7188,,,,,,NOT_FOUND
STARBUCKS,NEW YORK,10003,+1 212-982-3753,@starbucks,17.7M,1159,Brand,starbucks.app.link,FOUND
ARABIAN NIGHTS,SAN FRANCISCO,94110,+1 415-648-4156,@arabiannightssf,14,1,Welcome to Arabian Nights,,EMPTY_PROFILE
MILLYS PIZZERIA,NEW YORK,10003,un,@millyspizzeria,0,1,,,EMPTY_PROFILE
PARK AVE CAKE,NEW YORK,10003,+1 212-473-2124,@parkavecake,1846,253,PHL/NJ location,,WRONG_PROFILE
PETIT CHOU,NEW YORK,10003,+1 917-475-1620,,,,,,NOT_FOUND
BAR,SAN FRANCISCO,94110,+1 415-863-4158,,,,,,NOT_FOUND
THE WATERING HOLE,NEW YORK,10003,+1 212-674-5783,,,,,,NOT_FOUND
PAMELA WARSHAY FITNESS,NEW YORK,10003,un,,,,,,NOT_FOUND
ARCADIA EARTH,NEW YORK,10003,un,@arcadiaearth,80.2K,1060,Immersive Journey Through Planet Earth,linktr.ee/arcadiaearth,FOUND
BAJI BAJI,NEW YORK,10003,+1 212-777-3888,,,,,,NOT_FOUND
EAST WAY GOURMET,NEW YORK,10003,+1 212-358-2123,,,,,,NOT_FOUND
RAMENWELL,SAN FRANCISCO,94110,+1 415-967-4159,@ramenwellsf,6991,257,Scrumptious Bowls of Ramen,www.ramenwell.com,FOUND
KNOCKOUT,SAN FRANCISCO,94110,+1 415-550-6994,@theknockoutsf,17.3K,8402,OG Safe Space Venue since 2005 Mission SF,theknockoutsf.com,FOUND
Moki s Sushi & Pacific Grill,SAN FRANCISCO,94110,+1 415-970-9335,,,,,,NOT_FOUND
STRINGS RAMEN,NEW YORK,10003,+1 646-609-6029,@stringsramen,21.4K,2610,First dedicated ramen shop in Chicago,linktr.ee/StringsRamen,WRONG_PROFILE
ODDFELLOWS ICE CREAM,NEW YORK,10003,un,@oddfellowsicecream,66.3K,3479,Born in Brooklyn now international,linktr.ee/oddfellowsicecream,FOUND
HORSIES SALOON,SAN FRANCISCO,94110,+1 415-550-6903,,,,,,NOT_FOUND
Bridges General,NEW YORK,10003,un,@bridgesgeneral,1031,50,Snacks drinks and other cool products,bridgesgeneral.com,FOUND
S & P LIQUOR & WINE CORPORATION,NEW YORK,10003,+1 212-475-2124,,,,,,NOT_FOUND
Academy For Software Engineering School,NEW YORK,10003,+1 212-253-3299,,,,,,NOT_FOUND
Egg White Cafe,San Francisco,94110,+1 415-658-7494,,,,,,NOT_FOUND
SUNNY DAY CREAMERY,SAN FRANCISCO,94110,un,@sunnydaycreamery,202,27,Your new favorite ice cream DELIVERING PINTS TILL 4AM,,FOUND
SALTBAE BURGER,NEW YORK,10003,+1 212-308-2110,@saltbaeburger,11,0,,,EMPTY_PROFILE
BARZOTTO,SAN FRANCISCO,94110,+1 415-285-4152,,,,,,NOT_FOUND
PEACE & TODA CORPORATION,NEW YORK,10003,+1 212-420-2124,,,,,,NOT_FOUND
10 BELOW ICE CREAM,NEW YORK,10003,un,,,,,,NOT_FOUND
MUTINY CAFE & STUDIO,SAN FRANCISCO,94110,+1 415-550-4155,,,,,,NOT_FOUND
EVERGREEN GARDEN RESTAURANT,SAN FRANCISCO,94110,+1 415-621-8531,,,,,,NOT_FOUND
MAURICE CORNER LIQUOR,SAN FRANCISCO,94110,+1 415-643-4330,,,,,,NOT_FOUND
SISTER JANE EAST SIDE TAVERN,NEW YORK,10003,+1 212-675-2126,@sisterjanenyc,821,445,EV neighborhood hang w/ yummy food spirits beer wine,sisterjanenyc.com,FOUND
LIL FRANKIES PIZZA,NEW YORK,10003,+1 212-420-2124,@lilfrankies,88K,1412,Neapolitan Restaurant 19 1st Ave NYC,linkin.bio/lilfrankies,FOUND
JULES BISTRO,NEW YORK,10003,+1 212-477-2124,@julesbistro,3554,1461,Vancouver British Columbia,www.julesbistro.ca,WRONG_PROFILE
UMI NO IE,NEW YORK,10003,+1 646-654-6466,,,,,,NOT_FOUND
OPTIMO CANDY,NEW YORK,10003,+1 212-777-2127,,,,,,NOT_FOUND
26TH GUERRERO,SAN FRANCISCO,94110,+1 415-282-4152,,,,,,NOT_FOUND
NEWKIRKS,SAN FRANCISCO,94110,un,,,,,,NOT_FOUND
ALAMO DRAFTHOUSE CINEMA,SAN FRANCISCO,94110,+1 415-549-5959,@alamodrafthouse,367,0,Alamo Drafthouse NYC,,WRONG_PROFILE
ZITA WINE BAR,SAN FRANCISCO,94110,+1 415-800-7418,@zitawinebar,921,141,Conscious Conversation Friendly Bar Curated Wine,,FOUND
UGLY KITCHEN,NEW YORK,10003,+1 212-777-2127,@uglykitchennyc,5000,771,Great food amazing drinks awesome community,,FOUND
GREENWICH HOUSE INC-SUBSTANCE ABUSE SVC,NEW YORK,10003,+1 212-677-2126,,,,,,NOT_FOUND
AKRON MEAT MARKETS,SAN FRANCISCO,94110,+1 415-824-4158,,,,,,NOT_FOUND
CIUDAD,SAN FRANCISCO,94110,un,,,,,,NOT_FOUND
ERISTAVI WINERY,SAN FRANCISCO,94110,+1 415-702-7029,@eristaviwinery,528,89,Georgian winery family traces back hundreds of years,eristaviwinery.com/winesandspirits,FOUND
LIMON,SAN FRANCISCO,94110,+1 415-821-4158,@limonsf,854,38,Limon Rotisserie San Francisco,limonrotisserie.com/menus,FOUND
7-Eleven,NEW YORK,10003,+1 631-655-6884,@7eleven,1M,1104,Some things just happen #OnlyAt7ELEVEn,linktr.ee/7_eleven,FOUND
NIZARIOS PIZZA,SAN FRANCISCO,94110,+1 415-776-4157,,,,,,NOT_FOUND
UNION SQUARE HOSPITALITY GROUP,New York,10003,+1 212-228-3585,@ushgnyc,54.7K,1833,Home to @gramercytavern @unionsquarecafe @manhatta_nyc,ushg.wgiftcard.com,FOUND
LEXINGTON STREET DISCO BALL,SAN FRANCISCO,94110,un,,,,,,NOT_FOUND
BERETTA,SAN FRANCISCO,94110,+1 415-695-1199,@berettasf,6647,24,SF staple. italian small plates pizza craft cocktails,linktr.ee/berettasf,FOUND
VESELKA RESTAURANT,NEW YORK,10003,+1 212-228-9682,@veselkanyc,42.6K,4442,Ukrainian Soul Food in the heart of NYC,linktr.ee/veselkanyc,FOUND
CHICKPEA,NEW YORK,10003,+1 212-228-2122,@chickpeanyc,3,0,,,EMPTY_PROFILE
COZY SOUP & BURGER INCORPORATED,NEW YORK,10003,+1 212-477-2124,,,,,,NOT_FOUND
LA SANTANECA DE LA MISSION,SAN FRANCISCO,94110,+1 415-285-2131,,,,,,NOT_FOUND
Sanbus s and J Deli,NEW YORK,10003,+1 212-254-0838,,,,,,NOT_FOUND
3RD COUSIN,SAN FRANCISCO,94110,+1 415-814-4158,,,,,,NOT_FOUND
PRINCE TEA HOUSE,NEW YORK,10003,+1 917-388-2778,@princeteahouse,37.2K,815,Local chain tea house 10 locations in USA,www.princeteahouse.com,FOUND
HOG AND ROCKS,SAN FRANCISCO,94110,+1 415-550-4155,@hogandrocks,1393,662,Closed April 14 2018,www.hogandrocks.com,FOUND
THNESIS MARKET,SAN FRANCISCO,94110,+1 415-824-6810,,,,,,NOT_FOUND
OUTER ORBIT,SAN FRANCISCO,94110,+1 415-206-4152,@outerorbitsf,2546,1169,Hapa-Hawaii Restaurant and Pinball,,FOUND
SUGOI SUSHI,SAN FRANCISCO,94110,+1 415-401-4154,,,,,,NOT_FOUND
Latino s Grocery,SAN FRANCISCO,94110,+1 415-648-3503,,,,,,NOT_FOUND
Zico Rest. Vent. / Crepe House,San Fran,94110,un,,,,,,NOT_FOUND
MISSION OYSTER BAR SEAFOOD RESTAURANT,SAN FRANCISCO,94110,+1 415-621-4156,,,,,,NOT_FOUND
PHILLY FRESH CHEESESTEAKS,NEW YORK,10003,un,,,,,,NOT_FOUND
Kung Fu Tea,NEW YORK,10003,+1 212-677-4517,@kungfuteausa,418K,2962,Americas Bubble Tea since 2010,linktr.ee/kungfutea_usa,FOUND
AFFORDABLE NEW YORK CITY,NEW YORK,10003,+1 212-533-4001,,,,,,NOT_FOUND
NEW YORK EYE AND EAR INFIRMARY,NEW YORK,10003,+1 212-979-2129,,,,,,NOT_FOUND
SKY ICE,NEW YORK,10003,un,,,,,,NOT_FOUND
STARBUCKS,NEW YORK,10003,+1 212-982-8426,@starbucks,17.7M,1159,Brand,starbucks.app.link,FOUND
YUCATASIA DELI & SANDWICH,SAN FRANCISCO,94110,+1 415-626-4156,,,,,,NOT_FOUND
FRIENDS SEMINARY,NEW YORK,10003,+1 212-979-2129,,,,,,NOT_FOUND
MAKE OUT ROOM,SAN FRANCISCO,94110,+1 415-647-4156,@makeoutroomsf,2500,500,SF venue 3225 22nd St,,FOUND
BRIO BAR,NEW YORK,10003,un,,,,,,NOT_FOUND
DUM,SAN FRANCISCO,94110,+1 650-619-6506,,,,,,NOT_FOUND
BLACK & WHITE,NEW YORK,10003,+1 212-253-2122,,,,,,NOT_FOUND
ALMANAC SAN FRANCISCO,SAN FRANCISCO,94110,+1 415-992-4159,,,,,,NOT_FOUND
FRANKIES KITCHEN INC,NEW YORK,10003,+1 212-353-2123,,,,,,NOT_FOUND
JAYS CHEESESTEAK,SAN FRANCISCO,94110,+1 415-285-5200,,,,,,NOT_FOUND
THE INN SAN FRANCISCO,SAN FRANCISCO,94110,+1 415-641-4156,,,,,,NOT_FOUND
CHERIN SUSHI,NEW YORK,10003,+1 212-388-1348,,,,,,NOT_FOUND
Fresco Gelateria,NEW YORK,10003,+1 212-677-6320,,,,,,NOT_FOUND
PROJECT RENEWAL MEDICALLY MONITORED SVC,NEW YORK,10003,+1 212-533-2125,,,,,,NOT_FOUND
886,NEW YORK,10003,+1 646-882-0231,,,,,,NOT_FOUND
Synergy School,SAN FRANCISCO,94110,+1 415-567-6177,,,,,,NOT_FOUND
DORADO TACOS,NEW YORK,10003,+1 212-627-2126,,,,,,NOT_FOUND
TACO ELECTRICO,NEW YORK,10003,+1 917-534-5958,,,,,,NOT_FOUND
FARMHOUSE KITCHEN THAI CUISINE,SAN FRANCISCO,94110,+1 415-814-4158,,,,,,NOT_FOUND
NYU KOSHER EATERY,NEW YORK,10003,un,,,,,,NOT_FOUND
H T 99 CENT OVER,SAN FRANCISCO,94110,+1 415-821-4158,,,,,,NOT_FOUND
SALADS HERE,NEW YORK,10003,un,,,,,,NOT_FOUND
ROASTOWN COFFEE,NEW YORK,10003,un,,,,,,NOT_FOUND
ABCV,NEW YORK,10003,+1 212-475-2124,@abcvnyc,53.3K,1248,Plant-based restaurant by @chefjgv,m.mtrbio.com/abcv,FOUND
CAFE ETHIOPIA,SAN FRANCISCO,94110,+1 415-285-2728,,,,,,NOT_FOUND
H Mart,New York,10003,un,@hmartofficial,326K,2620,Americas go-to destination for all things Asian,linktr.ee/hmart,FOUND
UDON WEST,NEW YORK,10003,+1 212-353-3888,,,,,,NOT_FOUND
500 CLUB THE,SAN FRANCISCO,94110,+1 415-861-4158,@500clubsf,1716,198,Bar,,FOUND
Sunrise Restaurant,SAN FRANCISCO,94110,+1 415-206-1219,,,,,,NOT_FOUND
True Laurel,San Francisco,94110,+1 415-341-0020,@truelaurelsf,19.1K,335,Bar. N.A. worlds #17 @50bestbars #64,truelaurelsf.com,FOUND
MI LINDO PERU RESTAURANT,SAN FRANCISCO,94110,+1 415-642-4156,@milindoperusf,632,30,Established 1996 Delivery or Pickup,milindoperu.com,FOUND
MISSION BOWLING CLUB,SAN FRANCISCO,94110,+1 415-863-2695,@missionbowlingclub,17.1K,2029,Boutique bowling alley + full bar + award-winning restaurant,linktr.ee/missionbowlingclub,FOUND
NAMU GAJI,SAN FRANCISCO,94110,+1 415-431-6268,,,,,,NOT_FOUND
Arena SF,SAN FRANCISCO,94110,+1 650-273-7468,,,,,,NOT_FOUND
DRUNKEN DUMPLING,NEW YORK,10003,un,,,,,,NOT_FOUND
CUCINA DI PESCE,NEW YORK,10003,+1 212-260-2122,@cucinadipesce,598,292,Restaurant. Pop Up Kitchen delivery through NOMAD,nomadny.com,FOUND
MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,NEW YORK,10003,+1 212-353-2123,,,,,,NOT_FOUND
UNIVERSITY MKT PLACE,NEW YORK,10003,+1 212-929-2281,,,,,,NOT_FOUND
Ms 297 School,NEW YORK,10003,+1 917-678-8367,,,,,,NOT_FOUND
Outer Orbit,SAN FRANCISCO,94110,un,@outerorbitsf,2546,1169,Hapa-Hawaii Restaurant and Pinball,,FOUND
CVS PHARMACY,NEW YORK,10003,+1 212-260-3052,@cvspharmacy,302K,1509,Health/beauty. Healthier happens together,visitstore.bio/cvspharmacy,FOUND
HAUS COFFEE,SAN FRANCISCO,94110,+1 415-374-7353,@hauscoffee,401,113,,hauscoffee.com.ar,WRONG_PROFILE
BUTLER,NEW YORK,10003,un,,,,,,NOT_FOUND
ANTHOLOGY FILM ARCHIVES,NEW YORK,10003,un,@anthologyfilmarchives,99.3K,2508,Preserving & presenting films by visionaries radicals independents,linktr.ee/anthologyfilmarchives,FOUND
LITTLE NEPAL,SAN FRANCISCO,94110,+1 415-643-3881,,,,,,NOT_FOUND
GOLDEN EAGLE MARKET,SAN FRANCISCO,94110,+1 415-282-9737,,,,,,NOT_FOUND
AMSTERDAM BILLARDS AND BAR,NEW YORK,10003,+1 212-995-2129,,,,,,NOT_FOUND
RAYS GOURMET MARKET,NEW YORK,10003,+1 646-205-6462,,,,,,NOT_FOUND
TAQUERIA SAN FRANCISCO,SAN FRANCISCO,94110,+1 415-641-1770,,,,,,NOT_FOUND
MIUSA WINE BAR,NEW YORK,10003,un,,,,,,NOT_FOUND
JUNIOR,SAN FRANCISCO,94110,un,,,,,,NOT_FOUND
THE DONUT PUB,NEW YORK,10003,+1 646-974-1221,@thedonutpub,50K,542,Hand-Cut Donuts Open 24/7 Since 1964,donutpub.com,FOUND
FROZEN AGE,NEW YORK,10003,+1 646-654-6466,,,,,,NOT_FOUND
99 Favor Taste,NEW YORK,10003,+1 212-256-0480,,,,,,NOT_FOUND
TAQUERIA VALLARTA,SAN FRANCISCO,94110,+1 415-826-4158,,,,,,NOT_FOUND
UNIS DELI,SAN FRANCISCO,94110,+1 415-642-4156,,,,,,NOT_FOUND
PHOTO ALLIANCE,SAN FRANCISCO,94110,+1 415-781-8111,,,,,,NOT_FOUND
HALAL ALHAMBRA MEAT,SAN FRANCISCO,94110,+1 415-525-4155,,,,,,NOT_FOUND
HALAL FOOD CART,New York,10003,un,,,,,,NOT_FOUND
WANT BRANDING,NEW YORK,10003,+1 212-352-2123,,,,,,NOT_FOUND
CAFE MOCHA,NEW YORK,10003,+1 212-253-1046,,,,,,NOT_FOUND
INDIAN PALACE,SAN FRANCISCO,94110,+1 415-658-4156,,,,,,NOT_FOUND
EVERYMAN ESPRESSO,NEW YORK,10003,+1 212-533-0524,@everymanespresso,6361,2288,Damn Fine Coffee in the East Village and Park Slope,linktr.ee/everyman7,FOUND
PIRI PICA,SAN FRANCISCO,94110,un,,,,,,NOT_FOUND
Japonica,NEW YORK,10003,+1 212-243-7752,,,,,,NOT_FOUND
HOLY MOUNTAIN,SAN FRANCISCO,94110,+1 415-400-5699,,,,,,NOT_FOUND
WICHCRAFT,NEW YORK,10003,+1 212-780-0577,,,,,,NOT_FOUND
Bernal Supperclub,San Francisco,94110,un,,,,,,NOT_FOUND
TABLESIDE ITALIAN COOK SHOPPE,NEW YORK,10003,+1 646-852-6498,,,,,,NOT_FOUND
KABABAYAN FAST FOOD,SAN FRANCISCO,94110,+1 415-920-9635,,,,,,NOT_FOUND
PUNJAB RESTAURANT,SAN FRANCISCO,94110,+1 415-282-4011,,,,,,NOT_FOUND
ABC COCINA,New York,10003,un,@abccocina,14.7K,1270,Latin-inspired restaurant by @chefjgv,m.mtrbio.com/abc-cocina,FOUND
CHOP T CREATIVE SALAD COMPANY,NEW YORK,10003,+1 212-524-4619,,,,,,NOT_FOUND
HUDSON VIEW REST,NY,10003,un,,,,,,NOT_FOUND
New York City Department of Education,New York,10003,un,,,,,,NOT_FOUND
George s Market,SAN FRANCISCO,94110,+1 415-626-4323,@georgesmarket,220,14,,,WRONG_PROFILE
CALIFORNIA HOT PRESS INC,SAN FRANCISCO,94110,+1 415-814-4158,,,,,,NOT_FOUND
LE CAFE COFFEE,NEW YORK,10003,+1 212-365-2123,@lecafecoffee,9232,321,hand crafted delicious coffee and freshly baked pastries sandwiches,archinect.com/features/article/150325552,FOUND
NEW ALTERNATIVES CAFE,SAN FRANCISCO,94110,+1 415-826-4158,@newalternativescafe,1,3,Open Mon-Fri 6 a.m - 3 p.m. For breakfast and lunch,,FOUND
CHAYA,SAN FRANCISCO,94110,+1 415-252-7825,,,,,,NOT_FOUND
BIRITE CREAMERY,San Francisco,94110,+1 415-626-5600,@biritecreamery,8469,862,"We aim to make you smile by crafting the best tasting ice cream from local, responsible ingredients",linktr.ee/biritecreamery,FOUND
SCHMIDTS,SAN FRANCISCO,94110,+1 415-401-4154,,,,,,NOT_FOUND
il laboratorio del gelato,New York,10003,+1 212-343-9922,,,,,,NOT_FOUND
STMARK FOOD CORPORATION,NEW YORK,10003,un,,,,,,NOT_FOUND
CAVA22,SAN FRANCISCO,94110,+1 415-642-7224,@cava22sf,554,50,C22 Restaurant Bar-Mexican Food,cdn.flowcode.com/prodassets/Cava_22_menu,FOUND
CAMPOS CAFE,SAN FRANCISCO,94110,un,@camposcafe,0,0,,,EMPTY_PROFILE
DESTAPAS,SAN FRANCISCO,94110,+1 510-566-5105,,,,,,NOT_FOUND
BARNJOO 35,NEW YORK,10003,un,,,,,,NOT_FOUND
D B G B KITCHEN & BAR,NEW YORK,10003,+1 212-933-5300,@dbgbkitchen,15,1,,,EMPTY_PROFILE
Momofuku Noodle Bar,NEW YORK,10003,+1 212-777-7773,@momofukunoodlebar,77800,557,est. 2004 east village uptown nationwide shipping on @goldbelly,opentable.com/booking/experiences-availability,FOUND
GRAFFITI GRAFFITI EARTH ME & YOU,NEW YORK,10003,+1 212-464-2124,@graffitiearth,288,5,,www.graffitiearthy.com,FOUND
BRASSERIE SAINT JAMES,SAN FRANCISCO,94110,+1 415-655-4156,,,,,,NOT_FOUND
FRISSON ESPRESSO,NEW YORK,10003,+1 646-490-6464,@frissonespresso,6372,3217,"Coffee shop, FRANCHISE OPPORTUNITY, 405 W44th st NEW YORK",frissonespresso.co,FOUND
ROSAMUNDE SAUSAGE GRILL,SAN FRANCISCO,94110,+1 415-970-9015,@rosamundesf,3184,911,Delicious grilled-to-order sausages & craft beer since 1998 San Francisco,www.rosamundesausagegrill.com,FOUND
MENDL,NEW YORK,10003,+1 212-533-2125,,,,,,NOT_FOUND
DORADO TACOS & CEMITAS,NEW YORK,10003,+1 212-627-0900,@doradotacos,1,0,,,EMPTY_PROFILE
LOVE MAMAK,New York,10003,+1 212-505-1668,@lovemamak,142,30,lovemamak,www.lovemamak.com,FOUND
B BAR & GRILL,NEW YORK,10003,+1 212-475-2124,,,,,,NOT_FOUND
CAFE VALENCIA SAN FRANCISCO,SAN FRANCISCO,94110,+1 415-641-3066,,,,,,NOT_FOUND
SMASHMOUTH BURGERS,SAN FRANCISCO,94110,un,@smashmouthburgers,2285,1289,"Restaurant, Double Patty Delights",smashmouth302.com,FOUND
SOLAS,NEW YORK,10003,+1 212-375-2123,,,,,,NOT_FOUND
COZY SOUP & BURGER,NEW YORK,10003,+1 212-477-5566,,,,,,NOT_FOUND
Rosa Mexicano,NEW YORK,10003,+1 212-533-3350,@rosamexicano,50000,1799,Authentic Mexican Cuisine since 1984,go.momos.com/rosamexicano,FOUND
The Bronx Brewery & Empanology,new york,10003,+1 516-313-4240,@thebronxbrewery,60000,3537,"Pouring beer and vibes, The Bronx & Hudson Yards, @empanology",linktr.ee/thebronxbrewery,FOUND
FAT CAT KITCHEN,NEW YORK,10003,un,@fatcatkitchen,1436,432,"NYC Bakery Cafe Chef-Owned, 223 E 14th Street",fatcatkitchen.com,FOUND
PADO,NEW YORK,10003,+1 646-476-6464,,,,,,NOT_FOUND
MAN VS FRIES,SAN FRANCISCO,94110,un,@manvsfries,53700,908,"Restaurant, Started by one mans love for fries",doordash.com/business/man-vs-fries,FOUND
TACOS LOS ALTOS,SAN FRANCISCO,94110,+1 415-821-0701,,,,,,WRONG_PROFILE
Kung Fu Tea,NEW YORK,10003,+1 917-285-4285,@kungfuteausa,418000,2966,"Bubble Tea Shop, Americas Bubble Tea since 2010",linktr.ee/kungfutea_usa,FOUND
Panchitas Pupuseria,SAN FRANCISCO,94110,+1 415-913-7273,@panchitaspupuseria,2420,48,"Restaurant, Puro sabor salvadoreno, SF",panchitaspupuseria.com,FOUND
KABABAYAN FAST FOOD,SAN FRANCISCO,94110,+1 415-920-4159,@kababayanfastfood,39,0,,,EMPTY_PROFILE
321 ICE CREAM SHOP,NEW YORK,10003,+1 929-228-9292,,,,,,NOT_FOUND
CAFE ETHIOPIA,SAN FRANCISCO,94110,+1 415-285-4152,,,,,,NOT_FOUND
GEMMA RESTAURANT,NEW YORK,10003,+1 212-505-2125,,,,,,NOT_FOUND
ASLAMS RASOI,SAN FRANCISCO,94110,+1 415-695-4156,@aslamsrasoi,316,2,Restaurant,www.aslamsrasoi.com,FOUND
BLUE PLATE,SAN FRANCISCO,94110,+1 415-282-6777,@blueplatesf,13.8K,571,,,FOUND
